id	category	pos	display	reading	ko	level10
W0001	business	noun	連絡	れんらく	연락	6
W0002	business	noun	確認	かくにん	확인	6
W0003	business	noun	共有	きょうゆう	공유	6
W0004	business	noun	報告	ほうこく	보고	6
W0005	business	noun	相談	そうだん	상담/상의	6
W0006	business	noun	依頼	いらい	의뢰	6
W0007	business	noun	対応	たいおう	대응	6
W0008	business	noun	調整	ちょうせい	조정	6
W0009	business	noun	提案	ていあん	제안	6
W0010	business	noun	検討	けんとう	검토	6
W0011	business	noun	承認	しょうにん	승인	6
W0012	business	noun	申請	しんせい	신청	6
W0013	business	noun	申込	もうしこみ	신청(접수)	6
W0014	business	noun	手配	てはい	수배/준비	6
W0015	business	noun	手続き	てつづき	절차	6
W0016	business	noun	締切	しめきり	마감	6
W0017	business	noun	期限	きげん	기한	6
W0018	business	noun	予定	よてい	예정	6
W0019	business	noun	変更	へんこう	변경	6
W0020	business	noun	更新	こうしん	갱신/업데이트	6
W0021	business	noun	修正	しゅうせい	수정	6
W0022	business	noun	改善	かいぜん	개선	6
W0023	business	noun	課題	かだい	과제	6
W0024	business	noun	問題	もんだい	문제	6
W0025	business	noun	目標	もくひょう	목표	6
W0026	business	noun	計画	けいかく	계획	6
W0027	business	noun	戦略	せんりゃく	전략	8
W0028	business	noun	施策	しさく	시책/대책	6
W0029	business	noun	実行	じっこう	실행	6
W0030	business	noun	進捗	しんちょく	진척/진행상황	8
W0031	business	noun	成果	せいか	성과	6
W0032	business	noun	結果	けっか	결과	6
W0033	business	noun	分析	ぶんせき	분석	6
W0034	business	noun	評価	ひょうか	평가	6
W0035	business	noun	予測	よそく	예측	6
W0036	business	noun	方針	ほうしん	방침	6
W0037	business	noun	優先	ゆうせん	우선	6
W0038	business	noun	重要	じゅうよう	중요	6
W0039	business	noun	緊急	きんきゅう	긴급	6
W0040	business	noun	確認事項	かくにんじこう	확인 사항	10
W0041	business	noun	会議	かいぎ	회의	6
W0042	business	noun	打合せ	うちあわせ	미팅/협의	8
W0043	business	noun	資料	しりょう	자료	6
W0044	business	noun	議事録	ぎじろく	회의록	8
W0045	business	noun	メモ	めも	메모	5
W0046	business	noun	議題	ぎだい	의제	6
W0047	business	noun	結論	けつろん	결론	6
W0048	business	noun	合意	ごうい	합의	6
W0049	business	noun	承諾	しょうだく	승낙	6
W0050	business	noun	見解	けんかい	견해	6
W0051	business	noun	要件	ようけん	요건	6
W0052	business	noun	要望	ようぼう	요구	6
W0053	business	noun	条件	じょうけん	조건	6
W0054	business	noun	契約	けいやく	계약	6
W0055	business	noun	契約書	けいやくしょ	계약서	10
W0056	business	noun	見積	みつもり	견적	6
W0057	business	noun	見積書	みつもりしょ	견적서	10
W0058	business	noun	請求	せいきゅう	청구	6
W0059	business	noun	請求書	せいきゅうしょ	청구서	10
W0060	business	noun	発注	はっちゅう	발주	6
W0061	business	noun	受注	じゅちゅう	수주	6
W0062	business	noun	納品	のうひん	납품	6
W0063	business	noun	納期	のうき	납기	6
W0064	business	noun	支払い	しはらい	지불	6
W0065	business	noun	入金	にゅうきん	입금	6
W0066	business	noun	振込	ふりこみ	송금	6
W0067	business	noun	売上	うりあげ	매출	6
W0068	business	noun	利益	りえき	이익	6
W0069	business	noun	原価	げんか	원가	6
W0070	business	noun	予算	よさん	예산	6
W0071	business	noun	経費	けいひ	경비	6
W0072	business	noun	交通費	こうつうひ	교통비	10
W0073	business	noun	出張	しゅっちょう	출장	6
W0074	business	noun	稟議	りんぎ	품의	6
W0075	business	noun	決裁	けっさい	결재	6
W0076	business	noun	人事	じんじ	인사	6
W0077	business	noun	採用	さいよう	채용	6
W0078	business	noun	面接	めんせつ	면접	6
W0079	business	noun	研修	けんしゅう	연수/교육	6
W0080	business	noun	異動	いどう	이동/전보	6
W0081	business	noun	部署	ぶしょ	부서	6
W0082	business	noun	担当	たんとう	담당	6
W0083	business	noun	責任	せきにん	책임	6
W0084	business	noun	上司	じょうし	상사	6
W0085	business	noun	部下	ぶか	부하	6
W0086	business	noun	顧客	こきゃく	고객	6
W0087	business	noun	取引先	とりひきさき	거래처	10
W0088	business	noun	顧問	こもん	고문	6
W0089	business	noun	パートナー	ぱーとなー	파트너	5
W0090	business	noun	会社	かいしゃ	회사	4
W0091	business	noun	チーム	ちーむ	팀	5
W0092	business	noun	組織	そしき	조직	6
W0093	business	noun	役割	やくわり	역할	6
W0094	business	noun	目的	もくてき	목적	6
W0095	business	noun	方向性	ほうこうせい	방향성	10
W0096	business	noun	スケジュール	すけじゅーる	일정	5
W0097	business	noun	タスク	たすく	업무/할일	5
W0098	business	noun	プロジェクト	ぷろじぇくと	프로젝트	5
W0099	business	noun	進行	しんこう	진행	6
W0100	business	noun	運用	うんよう	운영	6
W0101	business	noun	管理	かんり	관리	6
W0102	business	noun	設定	せってい	설정	6
W0103	business	noun	権限	けんげん	권한	6
W0104	business	noun	アクセス	あくせす	접근	5
W0105	business	noun	仕様	しよう	사양	6
W0106	business	noun	要約	ようやく	요약	6
W0107	business	noun	概要	がいよう	개요	6
W0108	business	noun	詳細	しょうさい	상세	6
W0109	business	noun	対象	たいしょう	대상	6
W0110	business	noun	範囲	はんい	범위	6
W0111	business	noun	影響	えいきょう	영향	6
W0112	business	noun	リスク	りすく	리스크	5
W0113	business	noun	対策	たいさく	대책	6
W0114	business	noun	原因	げんいん	원인	6
W0115	business	noun	再発	さいはつ	재발	6
W0116	business	noun	防止	ぼうし	방지	6
W0117	business	noun	品質	ひんしつ	품질	6
W0118	business	noun	検証	けんしょう	검증	6
W0119	business	noun	テスト	てすと	테스트	5
W0120	business	noun	不具合	ふぐあい	결함/버그	8
W0121	business	noun	修理	しゅうり	수리	6
W0122	business	noun	保守	ほしゅ	유지보수	6
W0123	business	noun	障害	しょうがい	장애	6
W0124	business	noun	復旧	ふっきゅう	복구	6
W0125	business	noun	問い合わせ	といあわせ	문의	8
W0126	business	noun	回答	かいとう	답변	6
W0127	business	noun	連携	れんけい	연계	6
W0128	business	noun	提携	ていけい	제휴	6
W0129	business	noun	協業	きょうぎょう	협업	6
W0130	business	noun	市場	しじょう	시장	6
W0131	business	noun	競合	きょうごう	경쟁사	6
W0132	business	noun	見込み	みこみ	가망/예상	6
W0133	business	noun	需要	じゅよう	수요	6
W0134	business	noun	供給	きょうきゅう	공급	6
W0135	business	noun	顧客満足	こきゃくまんぞく	고객만족	10
W0136	business	noun	クレーム	くれーむ	클레임	5
W0137	business	noun	改善案	かいぜんあん	개선안	10
W0138	business	noun	提案書	ていあんしょ	제안서	10
W0139	business	noun	企画	きかく	기획	6
W0140	business	noun	企画書	きかくしょ	기획서	10
W0141	business	noun	契機	けいき	계기	6
W0142	business	noun	締結	ていけつ	체결	6
W0143	business	noun	見直し	みなおし	재검토	8
W0144	business	noun	周知	しゅうち	공지/주지	6
W0145	business	noun	周辺	しゅうへん	주변	6
W0146	business	noun	参照	さんしょう	참조	6
W0147	business	noun	添付	てんぷ	첨부	6
W0148	business	noun	送付	そうふ	송부	6
W0149	business	noun	受領	じゅりょう	수령	6
W0150	business	noun	確認メール	かくにんめーる	확인 메일	6
W0151	business	noun	ミーティング	みーてぃんぐ	미팅	5
W0152	business	noun	アジェンダ	あじぇんだ	아젠다	5
W0153	business	noun	レポート	れぽーと	리포트	5
W0154	business	noun	KPI	けーぴーあい	KPI	5
W0155	business	noun	売上目標	うりあげもくひょう	매출목표	10
W0156	business	noun	改善サイクル	かいぜんさいくる	개선 사이클	6
W0157	business	noun	会計	かいけい	회계	6
W0158	business	noun	経理	けいり	경리	6
W0159	business	noun	請求先	せいきゅうさき	청구처	10
W0160	business	noun	領収書	りょうしゅうしょ	영수증	10
W0161	business	noun	見積単価	みつもりたんか	견적 단가	10
W0162	business	noun	単価	たんか	단가	6
W0163	business	noun	粗利	あらり	매출총이익	6
W0164	business	noun	損益	そんえき	손익	6
W0165	business	noun	黒字	くろじ	흑자	6
W0166	business	noun	赤字	あかじ	적자	6
W0167	business	noun	キャッシュフロー	きゃっしゅふろー	현금흐름	5
W0168	business	noun	入札	にゅうさつ	입찰	6
W0169	business	noun	納税	のうぜい	납세	6
W0170	business	noun	監査	かんさ	감사(監査)	6
W0171	business	noun	コンプライアンス	こんぷらいあんす	컴플라이언스	5
W0172	business	noun	情報共有	じょうほうきょうゆう	정보 공유	10
W0173	business	noun	機密	きみつ	기밀	6
W0174	business	noun	セキュリティ	せきゅりてぃ	보안	5
W0175	business	noun	見込み客	みこみきゃく	잠재고객	10
W0176	business	noun	新規	しんき	신규	6
W0177	business	noun	既存	きぞん	기존	6
W0178	business	noun	リテンション	りてんしょん	리텐션	5
W0179	business	noun	集客	しゅうきゃく	집객	6
W0180	business	noun	広告	こうこく	광고	6
W0181	business	noun	宣伝	せんでん	홍보	6
W0182	business	noun	広報	こうほう	홍보/PR	6
W0183	business	noun	マーケティング	まーけてぃんぐ	마케팅	5
W0184	business	noun	ブランディング	ぶらんでぃんぐ	브랜딩	5
W0185	business	noun	ターゲット	たーげっと	타깃	5
W0186	business	noun	セグメント	せぐめんと	세그먼트	5
W0187	business	noun	ペルソナ	ぺるそな	페르소나	5
W0188	business	noun	クリエイティブ	くりえいてぃぶ	크리에이티브	5
W0189	business	noun	キャンペーン	きゃんぺーん	캠페인	5
W0190	business	noun	予算配分	よさんはいぶん	예산 배분	10
W0191	business	verb	ご確認ください	ごかくにんください	확인 부탁드립니다	7
W0192	business	verb	共有します	きょうゆうします	공유하겠습니다	5
W0193	business	verb	承知しました	しょうちしました	알겠습니다(비즈니스)	6
W0194	business	verb	了解しました	りょうかいしました	이해했습니다	6
W0195	business	verb	確認します	かくにんします	확인하겠습니다	5
W0196	business	verb	予測する	よそくする	예측하다	6
W0197	business	verb	依頼する	いらいする	의뢰하다	6
W0198	business	verb	修正する	しゅうせいする	수정하다	7
W0199	business	verb	共有する	きょうゆうする	공유하다	7
W0200	business	verb	分析する	ぶんせきする	분석하다	7
W0201	business	verb	承認する	しょうにんする	승인하다	7
W0202	business	verb	申請する	しんせいする	신청하다	7
W0203	business	verb	報告する	ほうこくする	보고하다	6
W0204	business	verb	相談する	そうだんする	상담/상의하다	6
W0205	business	verb	連絡する	れんらくする	연락하다	6
W0206	business	verb	調整する	ちょうせいする	조정하다	7
W0207	business	verb	提案する	ていあんする	제안하다	7
W0208	business	verb	検討する	けんとうする	검토하다	7
W0209	business	verb	変更する	へんこうする	변경하다	7
W0210	business	verb	更新する	こうしんする	갱신/업데이트하다	7
W0211	business	verb	改善する	かいぜんする	개선하다	7
W0212	business	verb	実行する	じっこうする	실행하다	6
W0213	business	verb	計画する	けいかくする	계획하다	7
W0214	business	verb	進行する	しんこうする	진행하다	7
W0215	business	verb	運用する	うんようする	운영하다	7
W0216	business	verb	管理する	かんりする	관리하다	6
W0217	business	verb	設定する	せっていする	설정하다	6
W0218	business	verb	検証する	けんしょうする	검증하다	7
W0219	business	verb	復旧する	ふっきゅうする	복구하다	7
W0220	business	verb	連携する	れんけいする	연계하다	7
W0221	business	verb	提携する	ていけいする	제휴하다	7
W0222	business	verb	協業する	きょうぎょうする	협업하다	7
W0223	business	verb	周知する	しゅうちする	공지하다	7
